timestamp_ms,pressure,ax,ay,az,gx,gy,gz,label
1764138825759,208,-0.112000,-0.023000,1.039000,126,127,126,rest_head
1764138825780,207,-0.113000,-0.024000,1.038000,126,127,126,rest_head
1764138825800,207,-0.112000,-0.023000,1.039000,127,127,126,rest_head
1764138825820,205,-0.113000,-0.022000,1.040000,126,127,126,rest_head
1764138825841,203,-0.113000,-0.021000,1.041000,126,127,126,rest_head
1764138825861,203,-0.112000,-0.022000,1.042000,126,127,126,rest_head
1764138825882,206,-0.111000,-0.022000,1.042000,126,127,126,rest_head
1764138825902,207,-0.111000,-0.022000,1.042000,126,127,126,rest_head
1764138825923,207,-0.110000,-0.022000,1.042000,126,127,126,rest_head
1764138825943,210,-0.110000,-0.022000,1.041000,126,127,126,rest_head
1764138825963,218,-0.110000,-0.022000,1.043000,126,127,126,rest_head
1764138825983,232,-0.110000,-0.021000,1.044000,126,127,126,rest_head
1764138826003,242,-0.110000,-0.020000,1.044000,126,127,126,rest_head
1764138826024,256,-0.110000,-0.020000,1.043000,126,127,126,rest_head
1764138826045,276,-0.110000,-0.020000,1.043000,126,127,126,rest_head
1764138826064,293,-0.112000,-0.022000,1.041000,126,127,126,rest_head
1764138826085,308,-0.114000,-0.023000,1.040000,127,127,126,rest_head
1764138826105,333,-0.114000,-0.024000,1.039000,127,127,126,rest_head
1764138826125,345,-0.114000,-0.025000,1.040000,127,127,126,rest_head
1764138826146,357,-0.112000,-0.023000,1.041000,127,127,126,rest_head
1764138826166,378,-0.113000,-0.022000,1.038000,126,127,126,rest_head
1764138826187,394,-0.112000,-0.021000,1.038000,126,127,126,rest_head
1764138826208,412,-0.112000,-0.020000,1.038000,126,127,126,rest_head
1764138826229,425,-0.113000,-0.020000,1.038000,126,127,126,rest_head
1764138826251,441,-0.113000,-0.020000,1.038000,126,127,127,rest_head
1764138826271,455,-0.113000,-0.021000,1.039000,126,127,127,rest_head
1764138826292,458,-0.113000,-0.021000,1.041000,126,127,127,rest_head
1764138826313,463,-0.113000,-0.021000,1.040000,126,127,127,rest_head
1764138826333,466,-0.113000,-0.022000,1.040000,126,127,126,rest_head
1764138826355,465,-0.115000,-0.021000,1.041000,126,127,126,rest_head
1764138826376,458,-0.116000,-0.021000,1.040000,126,127,126,rest_head
1764138826397,458,-0.116000,-0.021000,1.040000,126,127,126,rest_head
1764138826418,460,-0.117000,-0.022000,1.040000,126,127,126,rest_head
1764138826440,464,-0.117000,-0.022000,1.040000,126,127,126,rest_head
1764138826460,467,-0.118000,-0.021000,1.039000,126,127,127,rest_head
1764138826480,469,-0.117000,-0.021000,1.038000,126,127,127,rest_head
1764138826501,467,-0.117000,-0.022000,1.038000,126,127,127,rest_head
1764138826522,466,-0.116000,-0.021000,1.040000,126,127,126,rest_head
1764138826542,465,-0.115000,-0.021000,1.039000,126,127,126,rest_head
1764138826563,463,-0.114000,-0.022000,1.040000,126,127,126,rest_head
1764138826583,454,-0.113000,-0.021000,1.042000,126,127,126,rest_head
1764138826603,452,-0.113000,-0.021000,1.042000,127,127,126,rest_head
1764138826623,445,-0.112000,-0.020000,1.042000,126,127,126,rest_head
1764138826644,436,-0.112000,-0.021000,1.043000,126,127,126,rest_head
1764138826665,418,-0.113000,-0.022000,1.043000,126,127,127,rest_head
1764138826685,408,-0.113000,-0.022000,1.043000,126,127,126,rest_head
1764138826706,407,-0.113000,-0.022000,1.043000,126,127,126,rest_head
1764138826726,407,-0.113000,-0.023000,1.043000,126,127,126,rest_head
1764138826747,408,-0.114000,-0.023000,1.042000,126,127,126,rest_head
1764138826767,408,-0.113000,-0.022000,1.041000,126,127,126,rest_head
1764138826788,410,-0.112000,-0.021000,1.041000,126,127,126,rest_head
1764138826808,411,-0.112000,-0.022000,1.041000,126,127,126,rest_head
1764138826828,407,-0.112000,-0.021000,1.041000,126,127,126,rest_head
1764138826849,403,-0.110000,-0.021000,1.041000,126,127,126,rest_head
1764138826870,404,-0.110000,-0.021000,1.042000,126,127,126,rest_head
1764138826889,406,-0.111000,-0.021000,1.042000,126,127,126,rest_head
1764138826909,406,-0.110000,-0.022000,1.042000,126,127,126,rest_head
1764138826929,406,-0.111000,-0.021000,1.042000,126,127,126,rest_head
1764138826950,401,-0.111000,-0.021000,1.042000,126,127,126,rest_head
1764138826972,397,-0.112000,-0.021000,1.041000,126,127,126,rest_head
1764138826992,395,-0.112000,-0.022000,1.041000,126,127,126,rest_head
1764138827013,392,-0.111000,-0.021000,1.041000,126,127,126,rest_head
1764138827036,386,-0.110000,-0.021000,1.042000,126,127,126,rest_head
1764138827056,384,-0.110000,-0.021000,1.042000,126,127,126,rest_head
1764138827077,386,-0.109000,-0.021000,1.043000,126,127,126,rest_head
1764138827097,387,-0.110000,-0.021000,1.043000,126,127,126,rest_head
1764138827118,387,-0.109000,-0.022000,1.042000,126,127,126,rest_head
1764138827138,383,-0.109000,-0.021000,1.042000,126,127,126,rest_head
1764138827159,381,-0.108000,-0.021000,1.042000,126,127,126,rest_head
1764138827180,383,-0.108000,-0.021000,1.043000,126,127,126,rest_head
1764138827200,384,-0.109000,-0.020000,1.044000,126,127,126,rest_head
1764138827221,386,-0.110000,-0.021000,1.043000,126,127,126,rest_head
1764138827243,382,-0.110000,-0.022000,1.043000,126,127,126,rest_head
1764138827263,379,-0.110000,-0.022000,1.043000,126,127,127,rest_head
1764138827283,382,-0.111000,-0.023000,1.042000,126,127,127,rest_head
1764138827303,380,-0.112000,-0.023000,1.041000,126,127,127,rest_head
1764138827324,370,-0.110000,-0.022000,1.042000,126,127,126,rest_head
1764138827345,357,-0.110000,-0.022000,1.041000,126,127,126,rest_head
1764138827366,354,-0.109000,-0.020000,1.041000,126,127,127,rest_head
1764138827387,357,-0.108000,-0.019000,1.042000,126,127,127,rest_head
1764138827407,360,-0.108000,-0.020000,1.041000,126,127,127,rest_head
1764138827428,360,-0.108000,-0.020000,1.042000,126,127,127,rest_head
1764138827449,359,-0.108000,-0.021000,1.042000,126,127,127,rest_head
1764138827471,360,-0.108000,-0.021000,1.042000,126,127,126,rest_head
1764138827492,363,-0.109000,-0.023000,1.041000,126,127,126,rest_head
1764138827512,367,-0.109000,-0.022000,1.042000,126,127,126,rest_head
1764138827533,369,-0.111000,-0.023000,1.042000,126,127,126,rest_head
1764138827554,370,-0.110000,-0.023000,1.043000,126,127,126,rest_head
1764138827575,367,-0.109000,-0.022000,1.044000,126,127,126,rest_head
1764138827595,366,-0.109000,-0.022000,1.044000,126,127,126,rest_head
1764138827616,367,-0.109000,-0.021000,1.043000,126,127,126,rest_head
1764138827638,367,-0.109000,-0.020000,1.042000,126,127,126,rest_head
1764138827659,370,-0.109000,-0.021000,1.041000,126,127,126,rest_head
1764138827681,376,-0.111000,-0.021000,1.041000,126,127,126,rest_head
1764138827701,379,-0.111000,-0.021000,1.041000,126,127,126,rest_head
1764138827725,396,-0.110000,-0.021000,1.042000,126,127,127,rest_head
1764138827746,406,-0.110000,-0.022000,1.043000,126,127,126,rest_head
1764138827766,415,-0.109000,-0.021000,1.044000,126,127,127,rest_head
1764138827787,424,-0.109000,-0.021000,1.044000,126,127,127,rest_head
1764138827807,435,-0.110000,-0.023000,1.043000,126,127,127,rest_head
1764138827828,442,-0.109000,-0.023000,1.043000,126,127,127,rest_head
1764138827849,446,-0.109000,-0.022000,1.043000,126,127,126,rest_head
1764138827869,446,-0.109000,-0.022000,1.042000,126,127,126,rest_head
1764138827890,445,-0.108000,-0.022000,1.042000,126,127,126,rest_head
1764138827910,445,-0.108000,-0.021000,1.043000,126,127,126,rest_head
1764138827931,444,-0.109000,-0.020000,1.043000,126,127,126,rest_head
1764138827951,453,-0.110000,-0.021000,1.043000,126,127,126,rest_head
1764138827972,455,-0.110000,-0.021000,1.043000,126,127,126,rest_head
1764138827992,455,-0.110000,-0.021000,1.043000,126,127,126,rest_head
1764138828012,456,-0.111000,-0.023000,1.042000,126,127,126,rest_head
1764138828032,458,-0.111000,-0.023000,1.041000,126,127,126,rest_head
1764138828053,465,-0.111000,-0.023000,1.042000,126,127,127,rest_head
1764138828073,467,-0.111000,-0.023000,1.042000,126,127,127,rest_head
1764138828094,466,-0.110000,-0.022000,1.042000,126,127,127,rest_head
1764138828115,464,-0.108000,-0.022000,1.041000,126,127,127,rest_head
1764138828135,463,-0.110000,-0.022000,1.042000,126,127,127,rest_head
1764138828156,461,-0.110000,-0.022000,1.041000,126,127,126,rest_head
1764138828176,460,-0.110000,-0.021000,1.041000,126,127,126,rest_head
1764138828196,454,-0.111000,-0.021000,1.041000,126,127,126,rest_head
1764138828216,454,-0.112000,-0.020000,1.042000,126,127,126,rest_head
1764138828237,454,-0.110000,-0.020000,1.042000,126,127,126,rest_head
1764138828258,454,-0.110000,-0.021000,1.042000,126,127,126,rest_head
1764138828278,452,-0.109000,-0.021000,1.042000,126,127,126,rest_head
1764138828299,449,-0.108000,-0.022000,1.040000,126,127,127,rest_head
1764138828319,452,-0.109000,-0.022000,1.040000,126,127,126,rest_head
1764138828340,456,-0.110000,-0.021000,1.042000,126,127,126,rest_head
1764138828362,459,-0.110000,-0.020000,1.042000,126,127,126,rest_head
1764138828381,455,-0.110000,-0.020000,1.042000,126,127,127,rest_head
1764138828402,448,-0.111000,-0.021000,1.042000,126,127,127,rest_head
